name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.005485845999999128,0.0013651779999861446,0.0013758830000085709,0.00104401499999085,0.0007540370000072016,0.0007484509999926559,0.0008680720000029396,0.0014466330000004746,0.0008103560000165544,0.0007717240000033598
mongo Read,0.001684479999994437,0.0015629959999898801,0.0015299490000018068,0.0015145890000098916,0.001606749000018226,0.0017659340000193424,0.001522501000010834,0.0015145890000098916,0.0014955049999798575,0.0015597379999974237
mongo Update,0.0013321309999980713,0.001259984999990138,0.001282792000012023,0.0013689010000064172,0.001238575000002129,0.0012036649999913607,0.001235782000009067,0.0012362470000084613,0.001254864999992833,0.0013018759999852136
mongo Delete,0.06098523700001124,0.06201854500000081,0.07275332099999332,0.06067058899998301,0.06146232699998677,0.06172205100000383,0.06196920699997577,0.060698516999991625,0.06079067699999996,0.06071620399998778
redis Create,1.0034192280000127,0.0004891920000034133,0.00045567999998752384,0.0005352729999970052,0.00045568000001594555,0.0005022250000195072,0.00045381800001109696,0.0004347349999989092,0.00041797800000153984,0.0004626619999896775
redis Read,0.0004868649999991703,0.00042635700000914767,0.0004365960000143332,0.00043008000000099855,0.00040401399999723253,0.00040075699999420067,0.00037887899998167995,0.0004510260000074595,0.0004286829999955444,0.0004724359999954686
redis Update,0.000493847000001324,0.00044357799998806513,0.00043007900001157395,0.0004407849999950031,0.0004347349999989092,0.0005185159999996358,0.0004365959999859115,0.00042589000000248234,0.00027554900000836824,0.0002746179999917331
redis Delete,0.00029183999998849686,0.00026158599999348553,0.00026577399998473084,0.00026018900001645306,0.0002606540000158475,0.00023505499999032509,0.00022993400000359543,0.00023691600000574908,0.00020433500000649474,0.00016570100001445098
cassandra Create,0.003693381000005047,0.004838863999992782,0.0030985299999883864,0.004857017000006181,0.0029803040000047076,0.003998719000009032,0.006085815999995248,0.004065744000001814,0.003985220999993544,0.0049752429999898595
cassandra Read,0.005347140999987232,0.0037403919999974278,0.004060159000005115,0.0039019050000206335,0.004228188000013233,0.004315228000024263,0.004042937000008351,0.003956827999985535,0.0040243189999955575,0.0039535699999930785
cassandra Update,0.003595636000000013,0.004050849999998718,0.004107169999997495,0.0038139340000213906,0.003974049999982299,0.004952901000024212,0.004971517999990738,0.00300543900002026,0.00402292300000795,0.003922850000009248
cassandra Delete,0.003131112000005487,0.003968930000013415,0.004025716000001012,0.004128116000003956,0.0047778899999855184,0.0036207699999977194,0.003961949000000686,0.0050068930000009,0.003971256999989237,0.003970326000001023
mssql Create,0.008431242000000339,0.001356334000007564,0.0012180940000234841,0.0009746609999865541,0.0008983269999873755,0.0007624140000075386,0.0007773090000000593,0.0006949229999975159,0.0006441889999848627,0.0007223859999783144
mssql Read,0.01213160500000754,0.012060855999976638,0.012172563999996555,0.011818353999984765,0.011580041000001984,0.01131985199998553,0.0059624710000036885,0.005928957999998374,0.006079765999999154,0.005910806000002822
mssql Update,0.04206637600000818,0.035101781000008714,0.03522047100000236,0.034730347999982314,0.034982624999997824,0.03542759900000192,0.03535079900001392,0.03531775199999743,0.03699897300000998,0.03547461000002272
mssql Delete,0.03556025400001772,0.03497285099999203,0.035067803000004005,0.0353796569999929,0.03458326500000908,0.03612019600001304,0.0353601079999919,0.034475280000009434,0.03484298800000829,0.03451065400000175
mysql Create,0.00426216599998952,0.003136232000002792,0.0033726830000091468,0.0031976719999988745,0.003785074999996141,0.002964945000002217,0.0031218029999990904,0.003030108999979575,0.003160901000001104,0.0030254539999816643
mysql Read,0.05981508499999677,0.04747821500001237,0.0475615310000137,0.04658454200000506,0.046645050999984505,0.04640580700001351,0.0464341999999931,0.046847988999985546,0.04624615599999515,0.04637648400000671
mysql Update,0.058271171999990656,0.058654240999999274,0.05874593500001879,0.058104540000016414,0.058547187000016265,0.05949903999999151,0.05867146200000661,0.059653572000001986,0.05856952899998191,0.05946413099999859
mysql Delete,0.0719294669999897,0.07049679900001138,0.08401080299998398,0.08484117300000094,0.0640307049999933,0.06246957100000827,0.062713935000005,0.062297353000019484,0.06208370900000659,0.06188449499998683
