name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.000865693,0.001029585,0.0009728,0.001046807,0.001004916,0.001012828,0.000835956,0.000612538,0.00063488,0.000640931
mongo Read,0.001263036,0.001326545,0.001296756,0.001288844,0.001219025,0.001265105,0.001255796,0.001209716,0.001247883,0.001257658
mongo Update,0.001328341,0.001328341,0.001320495,0.001332596,0.001347025,0.001314909,0.001316306,0.001328341,0.001316305,0.001350749
mongo Delete,0.007530255,0.007530255,0.007446806,0.007639969,0.007605991,0.007530255,0.007511969,0.007527795,0.007456115,0.00752314
redis Create,0.000461627,0.000482211,0.000454749,0.000484072,0.000454283,0.000483607,0.000446371,0.000469178,0.0004352,0.000444974
redis Read,0.000425251,0.000418909,0.000425251,0.000439854,0.00044032,0.000415651,0.000432873,0.000422168,0.000422632,0.000409599
redis Update,0.000470575,0.000437993,0.00049152,0.000470575,0.000417047,0.000443578,0.000457335,0.000479883,0.000436596,0.000468248
redis Delete,0.00024384,0.00024384,0.000279738,0.000274618,0.000296029,0.000230866,0.000187112,0.000178269,0.000247156,0.000256931
cassandra Create,0.002178792,0.003962414,0.004001512,0.003921919,0.004008029,0.004987809,0.004010355,0.004936144,0.005099984,0.005888464
cassandra Read,0.00395677,0.003874908,0.004020595,0.003897715,0.004001977,0.00395677,0.003956828,0.003981497,0.003944261,0.003976377
cassandra Update,0.00398296,0.003981498,0.003948916,0.004029905,0.003961017,0.00398296,0.004017337,0.00398296,0.003932625,0.004009425
cassandra Delete,0.004013334,0.004013334,0.004013334,0.004078778,0.004013334,0.003987548,0.003975912,0.003979635,0.004013334,0.004044799
mssql Create,0.00096406,0.001368902,0.001311185,0.001119884,0.001142691,0.000937425,0.000735883,0.000722851,0.000691665,0.000646051
mssql Read,0.004332243,0.004559126,0.004890064,0.00468154,0.004571694,0.004765788,0.00404061,0.003905628,0.00377437,0.003801366
mssql Update,0.004608723,0.004938471,0.004735534,0.004611722,0.004596828,0.004563316,0.004791388,0.004378996,0.004145337,0.004716916
mssql Delete,0.00419229,0.004191883,0.00419229,0.004303126,0.004138356,0.004266821,0.004268217,0.004196537,0.004085759,0.004087621
mysql Create,0.003255272,0.003168814,0.003192552,0.003869788,0.003255272,0.003430864,0.002978909,0.003210704,0.003162763,0.003027781
mysql Read,0.005241483,0.00516701,0.005103708,0.00527965,0.005150719,0.005143737,0.005044595,0.005131635,0.00516701,0.005240552
mysql Update,0.01064215,0.010283285,0.010025423,0.011172303,0.01040058,0.010524856,0.010481568,0.010408958,0.011234209,0.010588158
mysql Delete,0.010031474,0.010603052,0.010542078,0.010286077,0.010799939,0.010153424,0.010234877,0.010043576,0.010310746,0.010557903
