name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.003643577,0.00114781,0.001029585,0.000939753,0.001027723,0.000920203,0.000884363,0.000902516,0.000895069,0.000898792
mongo Read,0.002209978,0.001860422,0.001741265,0.001211113,0.001140829,0.001180858,0.001135243,0.001130123,0.001177135,0.001175737
mongo Update,0.001337251,0.001259055,0.001226938,0.001265105,0.001270226,0.001333992,0.001274414,0.001260916,0.001222284,0.001205062
mongo Delete,0.001346094,0.001300945,0.001324684,0.00126557,0.001248349,0.001279534,0.001254865,0.00132701,0.001195287,0.001263243
redis Create,1.00636602,0.000432872,0.000442647,0.000425426,0.000473833,0.000421701,0.00048128,0.000424495,0.000439855,0.000430546
redis Read,0.000485935,0.000418909,0.000419374,0.000502691,0.000414719,0.00043613,0.000416116,0.000471971,0.000415186,0.000429614
redis Update,0.000280669,0.000238312,0.000286255,0.000238778,0.000238778,0.000236917,0.000249949,0.000238313,0.000237847,0.000237381
redis Delete,0.000266705,0.000240174,0.000228072,0.000227607,0.000206197,0.000217368,0.000214574,0.000176873,0.000183855,0.000177804
cassandra Create,0.002390109,0.004919853,0.004958952,0.005005963,0.005051577,0.003883752,0.00503901,0.003926108,0.002988218,0.00394845
cassandra Read,0.004595897,0.005039009,0.004980828,0.00592058,0.004103912,0.004507461,0.005608261,0.006166806,0.003924712,0.003938675
cassandra Update,0.004084363,0.004833279,0.004978035,0.004974311,0.004946385,0.005039941,0.004909613,0.004930558,0.00503389,0.00396381
cassandra Delete,0.003434123,0.003969861,0.003960552,0.00494685,0.004895185,0.003915868,0.003935882,0.003628683,0.004883548,0.003078515
mssql Create,0.013332943,0.00176221,0.00174592,0.001721251,0.001586734,0.001591389,0.001571375,0.001752901,0.001347956,0.00149085
mssql Read,0.00777914,0.001025396,0.000983971,0.001118487,0.000870865,0.001084043,0.001026793,0.001023534,0.001073338,0.001001192
mssql Update,0.002973323,0.000936494,0.000992814,0.00126464,0.00131165,0.001028188,0.001035636,0.000678633,0.000685614,0.001058909
mssql Delete,0.002343098,0.000831301,0.000844799,0.00081501,0.000694458,0.000602763,0.000591593,0.000642792,0.000596712,0.000643724
mysql Create,0.00435293,0.0032768,0.003253992,0.003319155,0.003075258,0.002872319,0.00337501,0.003527214,0.003356857,0.003065018
mysql Read,0.000625105,0.000458007,0.000411461,0.000419375,0.000471505,0.0004352,0.000418909,0.000413789,0.000454749,0.000421236
mysql Update,0.004425075,0.003655214,0.00336989,0.003354996,0.004018733,0.003942865,0.00396381,0.004018268,0.004057366,0.003973119
mysql Delete,0.003457396,0.00488029,0.003948916,0.004772304,0.003372683,0.003608668,0.003976843,0.003648697,0.003683141,0.003126923
