name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.000825436,0.000825436,0.000825436,0.000823854,0.000826181,0.000819665,0.000823388,0.000825436,0.000834094,0.000825436
mongo Read,0.000946327,0.000958836,0.00093277,0.000947666,0.000928116,0.000937891,0.000978851,0.000899723,0.000946327,0.000986764
mongo Update,0.000955636,0.000955636,0.00096256,0.000933701,0.000938821,0.00094813,0.000957905,0.000937425,0.00097792,0.000988625
mongo Delete,5.327951283,5.24121478,5.293970317,5.26820276,5.25712634,5.259873918,5.219002829,5.264368811,5.264368811,5.247608263
redis Create,0.000476044,0.000467317,0.00043101,0.000519913,0.000467782,0.000476044,0.000478952,0.00045568,0.000459869,0.000527825
redis Read,0.000528291,0.00045568,0.000446371,0.000466851,0.0004608,0.000487796,0.000444043,0.000549236,0.000471505,0.000478953
redis Update,0.000527825,0.000442647,0.000435666,0.000432872,0.000450146,0.000448698,0.000456145,0.000433804,0.000436596,0.000437062
redis Delete,0.000424029,0.000413324,0.000433338,0.00041565,0.000407738,0.000424029,0.000437061,0.000423564,0.000423098,0.000438458
cassandra Create,0.004032283,0.00439901,0.003066879,0.004046661,0.004905424,0.004000581,0.004021991,0.003952174,0.003950778,0.003947053
cassandra Read,0.003528145,0.004567504,0.005404391,0.005142806,0.004036421,0.003613323,0.004965003,0.004975243,0.004164886,0.004069469
cassandra Update,0.001875782,0.002999853,0.004074123,0.003932159,0.002984959,0.003906559,0.002930501,0.003028712,0.002956101,0.00300125
cassandra Delete,0.003040348,0.002937483,0.003290452,0.003018006,0.002999388,0.003975912,0.002722443,0.003929832,0.00409181,0.00289885
mssql Create,0.00065536,0.00065536,0.00065536,0.000617192,0.000565061,0.000713076,0.000616262,0.000719592,0.00072192,0.000634414
mssql Read,0.476904384,0.490905021,0.480367132,0.476904384,0.473625955,0.476239482,0.473429999,0.476299991,0.473081373,0.471286116
mssql Update,0.489566839,0.47579218,0.48273676,0.478628194,0.484676775,0.482301095,0.481955262,0.475287627,0.482028339,0.477911394
mssql Delete,0.483517793,0.472133708,0.473417897,0.473567774,0.475913198,0.482344382,0.478302376,0.478166929,0.477064268,0.472810014
mysql Create,0.00398822,0.004398544,0.004934282,0.003473687,0.004063418,0.003655213,0.00455261,0.004262632,0.00342109,0.003132508
mysql Read,5.798887444,5.742795463,5.790393299,5.826755066,5.801356613,5.798887444,5.798887444,5.793677081,5.784746872,5.852487715
mysql Update,7.177622067,7.16147173,7.194808973,7.211837158,7.187406386,7.180897315,7.222459294,7.161000224,7.172064076,7.139405931
mysql Delete,7.052058751,7.047334855,7.018132709,7.190304305,7.07271955,7.142227981,7.018908622,7.037285693,7.129129163,7.019093872
