name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.001020483,0.001365178,0.001375883,0.001044015,0.000754037,0.000748451,0.000868072,0.001446633,0.000810356,0.000771724
mongo Read,0.00168448,0.001562996,0.001529949,0.001514589,0.001606749,0.001554566,0.001522501,0.001514589,0.001495505,0.001559738
mongo Update,0.001332131,0.001259985,0.001282792,0.001260658,0.001238575,0.001203665,0.001235782,0.001236247,0.001254865,0.001301876
mongo Delete,0.060985237,0.062018545,0.061225928,0.060670589,0.061462327,0.061722051,0.061969207,0.060698517,0.060790677,0.060716204
redis Create,0.000458996,0.000489192,0.00045568,0.000458996,0.00045568,0.000502225,0.000453818,0.000434735,0.000417978,0.000462662
redis Read,0.000486865,0.000426357,0.000436596,0.00043008,0.000404014,0.000400757,0.000378879,0.000451026,0.000428683,0.000472436
redis Update,0.000493847,0.000443578,0.000430079,0.000440785,0.000434735,0.000518516,0.000436596,0.00042589,0.000275549,0.000274618
redis Delete,0.00029184,0.000261586,0.000265774,0.000260189,0.000260654,0.000235055,0.000229934,0.000236916,0.000204335,0.000249587
cassandra Create,0.003693381,0.004838864,0.00309853,0.004857017,0.002980304,0.003998719,0.00405478,0.004065744,0.003985221,0.004975243
cassandra Read,0.004024836,0.003740392,0.004060159,0.003901905,0.004228188,0.004315228,0.004042937,0.003956828,0.004024319,0.00395357
cassandra Update,0.003595636,0.00405085,0.00410717,0.003813934,0.00397405,0.004952901,0.004971518,0.003005439,0.004022923,0.00392285
cassandra Delete,0.003131112,0.00396893,0.004025716,0.004128116,0.00477789,0.00362077,0.003961949,0.005006893,0.003971257,0.003970326
mssql Create,0.00078203,0.00078203,0.00078203,0.000974661,0.000898327,0.000762414,0.000777309,0.000694923,0.000644189,0.000722386
mssql Read,0.012131605,0.012060856,0.012172564,0.011818354,0.011580041,0.011319852,0.005962471,0.005928958,0.006079766,0.005910806
mssql Update,0.035200748,0.035101781,0.035220471,0.034730348,0.034982625,0.035427599,0.035350799,0.035317752,0.035200748,0.03547461
mssql Delete,0.035560254,0.034972851,0.035067803,0.035379657,0.034583265,0.03497254,0.035360108,0.03447528,0.034842988,0.034510654
mysql Create,0.003126225,0.003136232,0.003372683,0.003197672,0.003126225,0.002964945,0.003121803,0.003030109,0.003160901,0.003025454
mysql Read,0.046627305,0.047478215,0.046627305,0.046584542,0.046645051,0.046405807,0.0464342,0.046847989,0.046246156,0.046376484
mysql Update,0.058271172,0.058654241,0.058745935,0.05810454,0.058547187,0.05949904,0.058671462,0.059653572,0.058569529,0.059464131
mysql Delete,0.071929467,0.070496799,0.064738254,0.064738254,0.064030705,0.062469571,0.062713935,0.062297353,0.062083709,0.061884495
